EntrezGene ID	GO ID
37	GO:0001659
37	GO:0003995
37	GO:0004466
37	GO:0005739
37	GO:0005743
37	GO:0005759
37	GO:0006631
37	GO:0006635
37	GO:0015980
37	GO:0016020
37	GO:0017099
37	GO:0033539
37	GO:0042645
37	GO:0042760
37	GO:0044255
37	GO:0045717
37	GO:0046322
37	GO:0050660
37	GO:0090181
38	GO:0001889
38	GO:0003985
38	GO:0005515
38	GO:0005739
38	GO:0005743
38	GO:0005759
38	GO:0007420
38	GO:0008415
38	GO:0009083
38	GO:0009725
38	GO:0014070
38	GO:0016740
38	GO:0019899
38	GO:0034641
38	GO:0042594
38	GO:0042803
38	GO:0043441
38	GO:0044255
38	GO:0046872
38	GO:0046950
38	GO:0046951
38	GO:0046952
38	GO:0050662
38	GO:0051260
38	GO:0060612
38	GO:0072229
39	GO:0003985
39	GO:0005515
39	GO:0005634
39	GO:0005730
39	GO:0005737
39	GO:0005739
39	GO:0006629
39	GO:0008415
39	GO:0016740
40	GO:0001101
40	GO:0005515
40	GO:0005886
40	GO:0005887
40	GO:0006814
40	GO:0007268
40	GO:0007417
40	GO:0007422
40	GO:0007602
40	GO:0007605
40	GO:0009612
40	GO:0015280
40	GO:0015672
40	GO:0043005
40	GO:0043025
40	GO:0043066
40	GO:0050974
41	GO:0005216
41	GO:0005515
41	GO:0005886
41	GO:0005887
41	GO:0006810
41	GO:0006811
41	GO:0006814
41	GO:0006816
41	GO:0007165
41	GO:0009268
41	GO:0015280
43	GO:0001507
43	GO:0001540
43	GO:0001919
43	GO:0002076
43	GO:0003990
43	GO:0003990
43	GO:0004104
43	GO:0004104
43	GO:0005515
43	GO:0005518
43	GO:0005576
43	GO:0005576
43	GO:0005576
43	GO:0005605
43	GO:0005615
43	GO:0005634
43	GO:0005794
43	GO:0005886
43	GO:0006260
43	GO:0006581
43	GO:0007155
43	GO:0007155
43	GO:0007268
43	GO:0007399
43	GO:0007416
43	GO:0007517
43	GO:0008283
43	GO:0009611
43	GO:0009986
43	GO:0016020
43	GO:0016787
43	GO:0017171
43	GO:0030054
43	GO:0031225
43	GO:0031623
43	GO:0032223
43	GO:0042136
43	GO:0042166
43	GO:0042166
43	GO:0042803
43	GO:0042803
43	GO:0042982
43	GO:0043237
43	GO:0043621
43	GO:0045202
43	GO:0045212
43	GO:0048471
43	GO:0050714
43	GO:0051262
43	GO:0060041
47	GO:0000166
47	GO:0003878
47	GO:0004775
47	GO:0005515
47	GO:0005524
47	GO:0005634
47	GO:0005730
47	GO:0005737
47	GO:0005829
47	GO:0006101
47	GO:0006112
47	GO:0006200
47	GO:0008610
47	GO:0008815
47	GO:0009346
47	GO:0015936
47	GO:0016740
47	GO:0016874
47	GO:0019432
47	GO:0031325
47	GO:0035338
47	GO:0044255
47	GO:0044262
47	GO:0046872
48	GO:0003723
48	GO:0003723
48	GO:0003994
48	GO:0005515
48	GO:0005737
48	GO:0005739
48	GO:0005783
48	GO:0005794
48	GO:0005829
48	GO:0006099
48	GO:0006101
48	GO:0006417
48	GO:0006879
48	GO:0008152
48	GO:0009791
48	GO:0010040
48	GO:0010468
48	GO:0016829
48	GO:0030350
48	GO:0046872
48	GO:0050892
48	GO:0051539
48	GO:0052632
48	GO:0052633
49	GO:0002077
49	GO:0003677
49	GO:0004040
49	GO:0004252
49	GO:0005507
49	GO:0005515
49	GO:0005537
49	GO:0005798
49	GO:0006508
49	GO:0007190
49	GO:0007338
49	GO:0007339
49	GO:0007340
49	GO:0007341
49	GO:0008144
49	GO:0008233
49	GO:0008270
49	GO:0009607
49	GO:0042806
49	GO:0043159
49	GO:0043234
49	GO:0048545
50	GO:0003994
50	GO:0005506
50	GO:0005634
50	GO:0005739
50	GO:0005759
50	GO:0006091
50	GO:0006099
50	GO:0006099
50	GO:0006101
50	GO:0008152
50	GO:0016829
50	GO:0046872
50	GO:0051539
50	GO:0052632
50	GO:0052633
51	GO:0000038
51	GO:0003995
51	GO:0003997
51	GO:0003997
51	GO:0003997
51	GO:0005737
51	GO:0005739
51	GO:0005777
51	GO:0005778
51	GO:0005782
51	GO:0006091
51	GO:0006629
51	GO:0006693
51	GO:0007283
51	GO:0019395
51	GO:0033540
51	GO:0033540
51	GO:0044255
51	GO:0044255
51	GO:0047485
51	GO:0050660
51	GO:0055114
52	GO:0003993
52	GO:0004726
52	GO:0005625
52	GO:0005634
52	GO:0005737
52	GO:0006470
52	GO:0009898
52	GO:0016787
52	GO:0042802
53	GO:0001501
53	GO:0001784
53	GO:0003993
53	GO:0004721
53	GO:0005764
53	GO:0005765
53	GO:0007040
53	GO:0010033
53	GO:0016020
53	GO:0016021
53	GO:0016787
53	GO:0019717
53	GO:0043202
54	GO:0003993
54	GO:0005764
54	GO:0005829
54	GO:0006766
54	GO:0006767
54	GO:0008198
54	GO:0008199
54	GO:0016021
54	GO:0016311
54	GO:0016787
54	GO:0032496
54	GO:0032691
54	GO:0032695
54	GO:0032720
54	GO:0032929
54	GO:0034097
54	GO:0045019
54	GO:0045453
54	GO:0046872
54	GO:0050728
54	GO:0050830
54	GO:0060349
55	GO:0003993
55	GO:0005576
55	GO:0005765
55	GO:0016020
55	GO:0016787
56	GO:0001669
56	GO:0007275
56	GO:0031410
58	GO:0000166
58	GO:0001725
58	GO:0005200
58	GO:0005515
58	GO:0005524
58	GO:0005737
58	GO:0005829
58	GO:0005865
58	GO:0005884
58	GO:0006936
58	GO:0009612
58	GO:0009991
58	GO:0010226
58	GO:0015629
58	GO:0016049
58	GO:0017022
58	GO:0030017
58	GO:0030049
58	GO:0030240
58	GO:0043503
58	GO:0043531
58	GO:0048545
58	GO:0048741
59	GO:0000166
59	GO:0005524
59	GO:0005737
59	GO:0005829
59	GO:0005856
59	GO:0006936
59	GO:0009615
60	GO:0000166
60	GO:0005200
60	GO:0005515
60	GO:0005524
60	GO:0005737
60	GO:0005829
60	GO:0005829
60	GO:0005856
60	GO:0006457
60	GO:0006928
60	GO:0007411
60	GO:0007596
60	GO:0019894
60	GO:0019901
60	GO:0030424
60	GO:0030529
60	GO:0034329
60	GO:0034332
60	GO:0035267
60	GO:0043234
60	GO:0044267
60	GO:0045216
60	GO:0050998
60	GO:0051084
60	GO:0070688
70	GO:0000166
70	GO:0005524
70	GO:0005625
70	GO:0005737
70	GO:0005829
70	GO:0005856
70	GO:0005884
70	GO:0006200
70	GO:0006915
70	GO:0016887
70	GO:0017022
70	GO:0017022
70	GO:0030017
70	GO:0030048
70	GO:0030049
70	GO:0030240
70	GO:0031032
70	GO:0031674
70	GO:0033275
70	GO:0042493
70	GO:0042643
70	GO:0045471
70	GO:0055003
70	GO:0055008
70	GO:0060047
70	GO:0060048
71	GO:0000166
71	GO:0005200
71	GO:0005515
71	GO:0005524
71	GO:0005737
71	GO:0005829
71	GO:0005829
71	GO:0005856
71	GO:0006928
71	GO:0007411
71	GO:0007596
71	GO:0019901
71	GO:0030424
71	GO:0034329
71	GO:0034332
71	GO:0042802
71	GO:0043234
71	GO:0045216
71	GO:0051592
72	GO:0000166
72	GO:0005524
72	GO:0005737
72	GO:0005829
72	GO:0005856
72	GO:0006936
81	GO:0001666
81	GO:0001725
81	GO:0001882
81	GO:0002576
81	GO:0003779
81	GO:0005178
81	GO:0005509
81	GO:0005515
81	GO:0005576
81	GO:0005634
81	GO:0005730
81	GO:0005737
81	GO:0007596
81	GO:0015031
81	GO:0015629
81	GO:0030168
81	GO:0030529
81	GO:0030863
81	GO:0031093
81	GO:0031143
81	GO:0032417
81	GO:0042803
81	GO:0042981
81	GO:0043234
81	GO:0047485
81	GO:0048471
81	GO:0048549
81	GO:0051015
81	GO:0051017
81	GO:0051271
81	GO:0051272
81	GO:0051272
86	GO:0003682
86	GO:0005524
86	GO:0005634
86	GO:0005886
86	GO:0006338
86	GO:0007165
86	GO:0007399
86	GO:0016514
86	GO:0035267
86	GO:0040008
86	GO:0043967
86	GO:0043968
86	GO:0071564
87	GO:0002576
87	GO:0003779
87	GO:0005178
87	GO:0005509
87	GO:0005515
87	GO:0005576
87	GO:0005730
87	GO:0005737
87	GO:0005829
87	GO:0005925
87	GO:0007596
87	GO:0015629
87	GO:0017166
87	GO:0030017
87	GO:0030168
87	GO:0031093
87	GO:0031143
87	GO:0034329
87	GO:0042981
87	GO:0048041
87	GO:0051271
88	GO:0002576
88	GO:0005178
88	GO:0005509
88	GO:0005515
88	GO:0005576
88	GO:0005730
88	GO:0005737
88	GO:0005829
88	GO:0005829
88	GO:0005856
88	GO:0005884
88	GO:0005925
88	GO:0007155
88	GO:0007268
88	GO:0007596
88	GO:0008307
88	GO:0015629
88	GO:0030017
88	GO:0030018
88	GO:0030035
88	GO:0030049
88	GO:0030168
88	GO:0030175
88	GO:0030375
88	GO:0031093
88	GO:0031143
88	GO:0031432
88	GO:0042802
88	GO:0042981
88	GO:0043197
88	GO:0046983
88	GO:0048041
88	GO:0051015
88	GO:0051289
88	GO:0051370
88	GO:0051374
88	GO:0070080
89	GO:0003779
89	GO:0005178
89	GO:0005509
89	GO:0005515
89	GO:0005829
89	GO:0005884
89	GO:0005925
89	GO:0008307
89	GO:0030049
89	GO:0031143
89	GO:0042803
89	GO:0042981
89	GO:0048041
90	GO:0000082
90	GO:0000166
90	GO:0001569
90	GO:0001655
90	GO:0001701
90	GO:0001702
90	GO:0001707
90	GO:0001755
90	GO:0002526
90	GO:0004674
90	GO:0004675
90	GO:0004702
90	GO:0004872
90	GO:0005025
90	GO:0005515
90	GO:0005524
90	GO:0005887
90	GO:0006468
90	GO:0007179
90	GO:0007281
90	GO:0007368
90	GO:0007498
90	GO:0007507
90	GO:0009790
90	GO:0009968
90	GO:0016020
90	GO:0016361
90	GO:0030278
90	GO:0030501
90	GO:0030509
90	GO:0032926
90	GO:0042803
90	GO:0043066
90	GO:0045177
90	GO:0045669
90	GO:0046332
90	GO:0046872
90	GO:0048179
90	GO:0048184
90	GO:0048185
90	GO:0048641
90	GO:0050431
90	GO:0051145
90	GO:0060037
90	GO:0071385
91	GO:0000082
91	GO:0000166
91	GO:0001701
91	GO:0001942
91	GO:0004674
91	GO:0004675
91	GO:0004702
91	GO:0004872
91	GO:0005024
91	GO:0005515
91	GO:0005524
91	GO:0005887
91	GO:0006468
91	GO:0006917
91	GO:0007165
91	GO:0007178
91	GO:0007417
91	GO:0009790
91	GO:0009986
91	GO:0010862
91	GO:0016020
91	GO:0016361
91	GO:0016740
91	GO:0017002
91	GO:0018107
91	GO:0019838
91	GO:0030308
91	GO:0031625
91	GO:0032927
91	GO:0032927
91	GO:0045648
91	GO:0045944
91	GO:0046332
91	GO:0046545
91	GO:0046777
91	GO:0046872
91	GO:0048179
91	GO:0048185
92	GO:0000166
92	GO:0001702
92	GO:0001934
92	GO:0004675
92	GO:0004702
92	GO:0005024
92	GO:0005515
92	GO:0005515
92	GO:0005524
92	GO:0005737
92	GO:0005886
92	GO:0005886
92	GO:0005887
92	GO:0007178
92	GO:0007283
92	GO:0007368
92	GO:0007498
92	GO:0009952
92	GO:0010033
92	GO:0015026
92	GO:0016362
92	GO:0017002
92	GO:0019838
92	GO:0030501
92	GO:0030509
92	GO:0030509
92	GO:0030509
92	GO:0030510
92	GO:0032927
92	GO:0034673
92	GO:0042713
