ID	SystemCode	MAPP
2931	L	Insulin Signaling:WP481
382	L	Insulin Signaling:WP481
3265	L	Insulin Signaling:WP481
11127	L	Insulin Signaling:WP481
7786	L	Insulin Signaling:WP481
5770	L	Insulin Signaling:WP481
1432	L	Insulin Signaling:WP481
3551	L	Insulin Signaling:WP481
5579	L	Insulin Signaling:WP481
5578	L	Insulin Signaling:WP481
4294	L	Insulin Signaling:WP481
4296	L	Insulin Signaling:WP481
4293	L	Insulin Signaling:WP481
5871	L	Insulin Signaling:WP481
252983	L	Insulin Signaling:WP481
5879	L	Insulin Signaling:WP481
8503	L	Insulin Signaling:WP481
53358	L	Insulin Signaling:WP481
2887	L	Insulin Signaling:WP481
2885	L	Insulin Signaling:WP481
2888	L	Insulin Signaling:WP481
2889	L	Insulin Signaling:WP481
7494	L	Insulin Signaling:WP481
5296	L	Insulin Signaling:WP481
5781	L	Insulin Signaling:WP481
5867	L	Insulin Signaling:WP481
5563	L	Insulin Signaling:WP481
5295	L	Insulin Signaling:WP481
8773	L	Insulin Signaling:WP481
5293	L	Insulin Signaling:WP481
23433	L	Insulin Signaling:WP481
6885	L	Insulin Signaling:WP481
5894	L	Insulin Signaling:WP481
6616	L	Insulin Signaling:WP481
3725	L	Insulin Signaling:WP481
5291	L	Insulin Signaling:WP481
9021	L	Insulin Signaling:WP481
9020	L	Insulin Signaling:WP481
5294	L	Insulin Signaling:WP481
868	L	Insulin Signaling:WP481
57761	L	Insulin Signaling:WP481
867	L	Insulin Signaling:WP481
9448	L	Insulin Signaling:WP481
8660	L	Insulin Signaling:WP481
6195	L	Insulin Signaling:WP481
6196	L	Insulin Signaling:WP481
6197	L	Insulin Signaling:WP481
5792	L	Insulin Signaling:WP481
2353	L	Insulin Signaling:WP481
6198	L	Insulin Signaling:WP481
6199	L	Insulin Signaling:WP481
3636	L	Insulin Signaling:WP481
6810	L	Insulin Signaling:WP481
6813	L	Insulin Signaling:WP481
6812	L	Insulin Signaling:WP481
6814	L	Insulin Signaling:WP481
5290	L	Insulin Signaling:WP481
3631	L	Insulin Signaling:WP481
5880	L	Insulin Signaling:WP481
5213	L	Insulin Signaling:WP481
5211	L	Insulin Signaling:WP481
5728	L	Insulin Signaling:WP481
6416	L	Insulin Signaling:WP481
10938	L	Insulin Signaling:WP481
115703	L	Insulin Signaling:WP481
10487	L	Insulin Signaling:WP481
5289	L	Insulin Signaling:WP481
5288	L	Insulin Signaling:WP481
207	L	Insulin Signaling:WP481
5167	L	Insulin Signaling:WP481
208	L	Insulin Signaling:WP481
5286	L	Insulin Signaling:WP481
23624	L	Insulin Signaling:WP481
1978	L	Insulin Signaling:WP481
