Ensembl ID	miRBase ID
ENSG00000208035	MI0000459
ENSG00000208036	MI0000734
ENSG00000208037	MI0000542
ENSG00000208038	MI0003131
ENSG00000209707	MI0000081
ENSG00000210741	MI0000238
ENSG00000211137	MI0000486
ENSG00000211491	MI0008190
ENSG00000211502	MI0005416
ENSG00000211506	MI0003761
ENSG00000211514	MI0003820
ENSG00000211517	MI0003760
ENSG00000211519	MI0005544
ENSG00000211520	MI0005569
ENSG00000211521	MI0005563
ENSG00000211524	MI0012489
ENSG00000211532	MI0003168
ENSG00000211535	MI0012488
ENSG00000211538	MI0003185
ENSG00000211543	MI0003776
ENSG00000211563	MI0000814
ENSG00000211568	MI0003933
ENSG00000211574	MI0005118
ENSG00000211575	MI0005567
ENSG00000211578	MI0003836
ENSG00000211579	MI0004065
ENSG00000211580	MI0003834
ENSG00000211581	MI0005116
ENSG00000211582	MI0003757
ENSG00000211583	MI0003763
ENSG00000211589	MI0005559
ENSG00000211590	MI0003906
ENSG00000211591	MI0003892
ENSG00000211997	MI0005543
ENSG00000212013	MI0005530
ENSG00000212014	MI0005717
ENSG00000212027	MI0005566
ENSG00000212040	MI0005565
ENSG00000212051	MI0008191
ENSG00000212076	MI0003941
ENSG00000212100	MI0003944
ENSG00000212102	MI0005568
ENSG00000215926	MI0005763
ENSG00000215926	MI0005764
ENSG00000215926	MI0005765
ENSG00000215926	MI0005766
ENSG00000215930	MI0005767
ENSG00000215937	MI0005529
ENSG00000215938	MI0005545
ENSG00000215939	MI0005564
ENSG00000215943	MI0005528
ENSG00000215946	MI0005763
ENSG00000215952	MI0005713
ENSG00000215957	MI0005525
ENSG00000215961	MI0005775
ENSG00000215966	MI0005542
ENSG00000215973	MI0005755
ENSG00000215991	MI0005570
ENSG00000215998	MI0005757
ENSG00000216001	MI0005531
ENSG00000216005	MI0005537
ENSG00000216009	MI0005532
ENSG00000216031	MI0005523
ENSG00000216035	MI0005760
ENSG00000216042	MI0005714
ENSG00000216056	MI0005524
ENSG00000216058	MI0005769
ENSG00000216060	MI0005756
ENSG00000216064	MI0005534
ENSG00000216069	MI0005541
ENSG00000216075	MI0005533
ENSG00000216077	MI0005562
ENSG00000216083	MI0005758
ENSG00000216090	MI0005759
ENSG00000216095	MI0005762
ENSG00000216098	MI0005538
ENSG00000216099	MI0005540
ENSG00000216101	MI0005561
ENSG00000216105	MI0005768
ENSG00000216133	MI0005761
ENSG00000216135	MI0005560
ENSG00000216141	MI0005763
ENSG00000216141	MI0005764
ENSG00000216141	MI0005765
ENSG00000216141	MI0005766
ENSG00000216151	MI0005536
ENSG00000216171	MI0006649
ENSG00000216179	MI0005539
ENSG00000216192	MI0005712
ENSG00000216195	MI0005763
ENSG00000216195	MI0005764
ENSG00000216195	MI0005765
ENSG00000216195	MI0005766
ENSG00000220978	MI0006363
ENSG00000221017	MI0003786
ENSG00000221025	MI0006385
ENSG00000221028	MI0006321
ENSG00000221033	MI0006408
ENSG00000221035	MI0002470
ENSG00000221039	MI0006348
ENSG00000221052	MI0006403
ENSG00000221055	MI0006364
ENSG00000221062	MI0006433
ENSG00000221063	MI0003780
ENSG00000221065	MI0006323
ENSG00000221067	MI0006437
ENSG00000221081	MI0008192
ENSG00000221091	MI0006366
ENSG00000221120	MI0003764
ENSG00000221133	MI0006382
ENSG00000221147	MI0006407
ENSG00000221160	MI0006428
ENSG00000221170	MI0006371
ENSG00000221176	MI0006340
ENSG00000221184	MI0006388
ENSG00000221187	MI0006400
ENSG00000221190	MI0006277
ENSG00000221200	MI0006387
ENSG00000221203	MI0006397
ENSG00000221214	MI0006344
ENSG00000221227	MI0006372
ENSG00000221230	MI0006361
ENSG00000221238	MI0006347
ENSG00000221240	MI0006392
ENSG00000221251	MI0006398
ENSG00000221261	MI0006341
ENSG00000221263	MI0006420
ENSG00000221264	MI0006431
ENSG00000221265	MI0006389
ENSG00000221267	MI0006326
ENSG00000221269	MI0006369
ENSG00000221273	MI0006327
ENSG00000221275	MI0006422
ENSG00000221287	MI0006351
ENSG00000221288	MI0006336
ENSG00000221290	MI0006275
ENSG00000221292	MI0006363
ENSG00000221305	MI0006423
ENSG00000221311	MI0006363
ENSG00000221315	MI0006337
ENSG00000221323	MI0006271
ENSG00000221325	MI0006332
